Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_0,-0.0675035075525569,-5.18535194466247E-05,0.0367350222698704,0,0,0,0.698303024725947,0.000787763199578271,1.27923194200481E-08,3.91627892446522E-05,0.00122161151215265,-5.6535474828849E-08,0.00181246078386089,0,0,0,0,0,0,package://arm_description/meshes/Link_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/Link_0.STL,,装配体1^机械臂闭环-3/装配体1^机械臂闭环-1,Coordinate system word,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.000203702110678668,0.00719939370249743,0.0211938807403194,0,0,0,0.46557612203597,0.000297602849409442,4.80186882265429E-06,-1.6423085265576E-06,0.000291628952652911,3.29812784362883E-05,0.000353863601019445,0,0,0,0,0,0,package://arm_description/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/Link_1.STL,,装配体1^机械臂闭环-3/装配体3^机械臂闭环-1,Coordinate1,Axis1,Joint_1,revolute,0,0,0.049,0,0,0,Link_0,0,0,1,1.11,100.11,-3.14,3.14,,,,,,,,
Link_2,0.000166088802422512,0.0784512270219857,0.00863106715508631,0,0,0,0.400986544468783,0.00116161727998358,5.60186673260162E-07,-7.4654894965053E-07,0.000165364929215947,4.65173075270389E-05,0.00118316008507897,0,0,0,0,0,0,package://arm_description/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/Link_2.STL,,装配体1^机械臂闭环-3/装配体4^机械臂闭环-1,Coordinate2,Axis2,Joint_2,revolute,0,-0.0205,0.05,1.5708,0,0,Link_1,0,0,-1,1.11,100.11,-3.14,3.14,,,,,,,,
Link_3,-0.0219942855857827,0.0532895101097236,0.000195058667687764,0,0,0,0.16902654352301,5.29297042805816E-05,6.72587639585683E-07,-1.30538021725565E-06,5.894061848225E-05,9.91005380762865E-07,6.04540673424955E-05,0,0,0,0,0,0,package://arm_description/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/Link_3.STL,,装配体1^机械臂闭环-3/装配体2^机械臂闭环-1,Coordinate3,Axis3,Joint_3,revolute,0,0.19,0.0255,-1.5708,0,0,Link_2,0,1,0,1.11,100.11,-3.14,3.14,,,,,,,,
Link_4,0.00845300207259009,-0.000202292626683587,0.040601655275772,0,0,0,0.0943887199905656,3.28248335297915E-05,-2.33178179861849E-07,4.53313580760867E-07,5.423902467052E-05,5.35478993431718E-07,4.13036966685248E-05,0,0,0,0,0,0,package://arm_description/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/Link_4.STL,,装配体1^机械臂闭环-3/装配体5^机械臂闭环-1,Coordinate4,Axis4,Joint_4,revolute,0.017,0.0538,0,1.5708,0,1.5708,Link_3,0,0,1,1.11,100.11,-3.14,3.14,,,,,,,,
Link_5,0.0575396889248869,-0.00207706379284772,0.0325776549370584,0,0,0,0.103310209432079,1.78724651250568E-05,7.93492225998172E-07,-1.53484510663456E-07,6.16830905288395E-05,3.43688168926224E-08,6.03886734110798E-05,0,0,0,0,0,0,package://arm_description/meshes/Link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/Link_5.STL,,装配体1^机械臂闭环-3/装配体6^机械臂闭环-1,Coordinate5,Axis5,Joint_5,revolute,-0.034,0,0.0686,0,-1.5708,0,Link_4,0,0,1,1.11,100.11,-3.14,3.14,,,,,,,,
Gripper1,0.0155000006183292,-1.42592211233028E-08,0.0114999983424974,0,0,0,0.00321634515503719,3.54103145673467E-08,-2.99811644601601E-14,-1.31738672110525E-15,3.37887104323606E-07,9.87215592217588E-16,3.59796286031289E-07,0,0,0,0,0,0,package://arm_description/meshes/Gripper1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/Gripper1.STL,,装配体1^机械臂闭环-3/装配体8^机械臂闭环-1,Coordinate_Gripper1,Axis_Gripper1,Joint_Gripper1,revolute,0.11413,-0.0115,0.0225,-1.5708,0.28739,0,Link_5,0,0,-1,1.11,100.11,-3.14,3.14,,,,,,,,
Gripper2,0.0303746594923913,0.00188188191423039,0.0150357033160562,0,0,0,0.00996653848458447,1.98084259446021E-07,-3.61537540033088E-07,7.69780459843811E-10,3.87059774946945E-06,8.36441232218535E-11,3.92027879407583E-06,0,0,0,0,0,0,package://arm_description/meshes/Gripper2.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/Gripper2.STL,,装配体1^机械臂闭环-3/零件11-1,Coordinate_Gripper2,Axis_Gripper2,Joint_Gripper2,revolute,0.031,0,-0.0035,0,0,-0.63983,Gripper1,0,0,-1,1.11,100.11,-3.14,3.14,,,,,,,,
Gripper3,0.01575,0,0.00899999999999995,0,0,0,0.00247071893711598,4.3341893815428E-08,-1.65436122510605E-23,2.10617357954613E-22,4.3138367265376E-07,-1.38669385587852E-24,4.13706749246344E-07,0,0,0,0,0,0,package://arm_description/meshes/Gripper3.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/Gripper3.STL,,装配体1^机械臂闭环-3/零件9_1-1,Coordinate_Gripper3,Axis_Gripper3,Joint_Gripper3,revolute,0.128,-0.009,0.0255,-1.5708,0.2002,0,Link_5,0,0,-1,1.11,100.11,-3.14,3.14,,,,,,,,
Gripper1_1,0.0155000006183291,-1.42592211198334E-08,0.0114999983424975,0,0,0,0.00321634515503719,3.54103145673467E-08,-2.99811642575008E-14,-1.31738685520997E-15,3.37887104323608E-07,9.87215570840088E-16,3.59796286031291E-07,0,0,0,0,0,0,package://arm_description/meshes/Gripper1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/Gripper1_1.STL,,装配体1^机械臂闭环-3/装配体8^机械臂闭环-2,Coordinate_Gripper1_1,Axis_Gripper1_1,Joint_Gripper1_1,revolute,0.11413,-0.0115,0.0475,-1.5708,-0.21901,0,Link_5,0,0,-1,1.11,100.11,-3.14,3.14,,,,,,,,
Gripper2_1,0.0303746594923912,-0.00188188191423042,0.0149642966839438,0,0,0,0.00996653848458448,1.9808425944602E-07,3.61537540033088E-07,-7.69780459841351E-10,3.87059774946946E-06,8.36441232215229E-11,3.92027879407583E-06,0,0,0,0,0,0,package://arm_description/meshes/Gripper2_1.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/Gripper2_1.STL,,装配体1^机械臂闭环-3/零件11-2,Coordinate_Gripper2_1,Axis_Gripper2_1,Joint_Gripper2_1,revolute,0.031,0,-0.0035,0,0,0.59564,Gripper1_1,0,0,-1,1.11,100.11,-3.14,3.14,,,,,,,,
Gripper3_1,0.015750000000005,1.35293685976645E-13,-0.0089999999999999,0,0,0,0.00247071893711598,4.3341893815428E-08,9.92616735063558E-24,1.30409672081783E-22,4.31383672653761E-07,-6.28696187080556E-24,4.13706749246345E-07,0,0,0,0,0,0,package://arm_description/meshes/Gripper3_1.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/Gripper3_1.STL,,装配体1^机械臂闭环-3/零件9_1-2,Coordinate_Gripper3_1,Axis_Gripper3_1,Joint_Gripper3_1,revolute,0.128,-0.009,0.0445,1.5708,-0.12255,0,Link_5,0,0,1,1.11,100.11,-3.14,3.14,,,,,,,,
